CNPJ,REGISTRO_OPERADORA,Modalidade,UF,StatusCadastro
19541931000125,419761,Administradora de Benefícios,MG,Ativo
22869997000153,421545,Odontologia de Grupo,SP,Ativo
27452545000195,421421,Medicina de Grupo,SP,Ativo
13138885000131,418030,Administradora de Benefícios,SP,Ativo
17505793000101,314668,Autogestão,MG,Ativo
17687511000126,419621,Administradora de Benefícios,RJ,Ativo
10458298000131,418901,Administradora de Benefícios,RJ,Ativo
58280182000181,424293,Administradora de Benefícios,SP,Ativo
28315826000169,421553,Administradora de Benefícios,SP,Ativo
7867825000157,416932,Administradora de Benefícios,SP,Ativo
37201454000130,422347,Administradora de Benefícios,RJ,Ativo
2041808000142,335657,Medicina de Grupo,SP,Ativo
3694367000140,413283,Odontologia de Grupo,SP,Ativo
11158465000191,417424,Administradora de Benefícios,SP,Ativo
20320487000105,368920,Autogestão,MG,Ativo
57522360000170,424285,Medicina de Grupo,PE,Ativo
10387254000168,417742,Administradora de Benefícios,RJ,Ativo
34266553000102,421928,Medicina de Grupo,SP,Ativo
7674593000110,417289,Administradora de Benefícios,SP,Ativo
11165556000154,417459,Administradora de Benefícios,DF,Ativo
4439627000102,515,Seguradora Especializada em Saúde,SP,Ativo
45568546000181,423262,Odontologia de Grupo,SP,Ativo
20459346000160,419982,Odontologia de Grupo,MT,Ativo
22103116000199,420255,Administradora de Benefícios,SP,Ativo
16757674000175,418773,Administradora de Benefícios,RJ,Ativo
62511019000150,344800,Medicina de Grupo,SP,Ativo
56307500000125,424234,Medicina de Grupo,RJ,Ativo
16926969000128,419052,Medicina de Grupo,PA,Ativo
46614535000153,423351,Medicina de Grupo,RO,Ativo
17143876000190,304531,Medicina de Grupo,MG,Ativo
4257073000114,413330,Medicina de Grupo,RJ,Ativo
67839969000121,394734,Medicina de Grupo,SP,Ativo
68668045000172,401081,Medicina de Grupo,RJ,Ativo
15131148000132,418587,Medicina de Grupo,SP,Ativo
29174910000172,421731,Medicina de Grupo,SP,Ativo
29309127000179,326305,Medicina de Grupo,SP,Ativo
20946877000187,325465,Medicina de Grupo,MG,Ativo
41077489000187,422720,Medicina de Grupo,RJ,Ativo
43047552000168,423858,Medicina de Grupo,MG,Ativo
57395677000193,424277,Medicina de Grupo,RJ,Ativo
45981176000100,423319,Autogestão,GO,Ativo
3013779000178,421871,Medicina de Grupo,PR,Ativo
55081563000143,424366,Administradora de Benefícios,SP,Ativo
35808498000106,422932,Administradora de Benefícios,RJ,Ativo
30902499000193,421693,Administradora de Benefícios,MT,Ativo
17469701000177,416070,Autogestão,MG,Ativo
41715325000138,422941,Administradora de Benefícios,SP,Ativo
743507000135,352152,Odontologia de Grupo,SP,Ativo
57267292000140,424340,Odontologia de Grupo,SE,Ativo
12080518000161,417769,Administradora de Benefícios,BA,Ativo
53249803000140,423912,Medicina de Grupo,SP,Ativo
66854779000110,325236,Medicina de Grupo,SP,Ativo
1872588000136,365297,Odontologia de Grupo,MA,Ativo
47325263000134,423432,Autogestão,PE,Ativo
73565319000138,409634,Medicina de Grupo,PR,Ativo
59007799000190,360783,Medicina de Grupo,SP,Ativo
62635990000191,317632,Autogestão,SP,Ativo
13100755000100,343129,Autogestão,BA,Ativo
13083167000105,420093,Autogestão,SE,Ativo
71565659000133,406635,Autogestão,SP,Ativo
200720000109,410608,Autogestão,SP,Ativo
92741016000173,417599,Filantropia,RS,Ativo
89761670000134,333867,Medicina de Grupo,RS,Ativo
83367342000171,406554,Filantropia,PA,Ativo
3849449000117,411752,Medicina de Grupo,SP,Ativo
25335803000128,322326,Filantropia,MG,Ativo
2030246000131,304131,Autogestão,SP,Ativo
31240963000196,382540,Medicina de Grupo,RJ,Ativo
10935483000170,417947,Medicina de Grupo,SP,Ativo
7945024000162,417955,Autogestão,PR,Ativo
7781345000179,416690,Autogestão,MG,Ativo
8202035000115,416568,Autogestão,MG,Ativo
60975174000100,314218,Filantropia,SP,Ativo
35657268000185,422321,Medicina de Grupo,SC,Ativo
15022430000181,418731,Medicina de Grupo,SP,Ativo
11939445000158,417530,Medicina de Grupo,SP,Ativo
12317012000123,393533,Autogestão,AL,Ativo
15713057000105,420000,Medicina de Grupo,BA,Ativo
34011288000111,387185,Autogestão,RJ,Ativo
9306242000182,330281,Autogestão,PB,Ativo
13170410000122,384704,Autogestão,SE,Ativo
92911056000116,382639,Autogestão,RS,Ativo
299149000113,306754,Autogestão,GO,Ativo
4503249000170,388092,Autogestão,AM,Ativo
14799035000147,335754,Autogestão,BA,Ativo
29167970000168,309028,Medicina de Grupo,RJ,Ativo
20160828000114,419591,Autogestão,PA,Ativo
87547444000120,342556,Filantropia,RS,Ativo
78613841000161,326755,Filantropia,PR,Ativo
33922160000147,422053,Autogestão,MG,Ativo
8883265000197,416584,Autogestão,PR,Ativo
2220135000198,402206,Autogestão,GO,Ativo
30724638000136,421618,Medicina de Grupo,SP,Ativo
92685833000151,423807,Autogestão,RS,Ativo
15323270000100,419150,Medicina de Grupo,SP,Ativo
11177786000133,417211,Autogestão,MG,Ativo
23869306000184,420158,Medicina de Grupo,SP,Ativo
25141173000150,420816,Medicina de Grupo,SP,Ativo
12049486000131,418617,Autogestão,PR,Ativo
39427632000171,422631,Autogestão,RJ,Ativo
20961779000119,419958,Medicina de Grupo,SP,Ativo
66493339000185,408093,Autogestão,SP,Ativo
71753297000104,408263,Autogestão,SP,Ativo
444803000135,409413,Autogestão,SP,Ativo
34259000153,410110,Autogestão,SP,Ativo
59766105000107,406813,Autogestão,SP,Ativo
57272510000135,406937,Autogestão,SP,Ativo
71559272000174,410128,Autogestão,SP,Ativo
642842000147,409405,Autogestão,SP,Ativo
841848000143,423203,Autogestão,SP,Ativo
59762062000183,414212,Autogestão,SP,Ativo
72916364000127,407569,Autogestão,SP,Ativo
147571000153,406945,Autogestão,SP,Ativo
665690000106,408026,Autogestão,SP,Ativo
66491036000123,408034,Autogestão,SP,Ativo
648506000101,411248,Autogestão,SP,Ativo
72918287000144,408794,Autogestão,SP,Ativo
24807514000111,420786,Medicina de Grupo,SP,Ativo
16665579000141,418803,Medicina de Grupo,SP,Ativo
18321477000134,419249,Medicina de Grupo,SP,Ativo
13001218000102,418021,Medicina de Grupo,SP,Ativo
2903477000102,330892,Medicina de Grupo,SC,Ativo
11336728000105,418218,Medicina de Grupo,RS,Ativo
11867361000156,418919,Medicina de Grupo,SC,Ativo
10796140000171,417220,Odontologia de Grupo,MG,Ativo
14946109000120,419141,Medicina de Grupo,SP,Ativo
27067508000163,421006,Medicina de Grupo,SP,Ativo
23557177000199,420123,Medicina de Grupo,SP,Ativo
307714000147,412635,Autogestão,SP,Ativo
23779545000143,420794,Administradora de Benefícios,MT,Ativo
15245079000198,336874,Odontologia de Grupo,BA,Ativo
59641573000147,424528,Medicina de Grupo,SP,Ativo
34732056000152,422151,Medicina de Grupo,BA,Ativo
62383533000157,424714,Administradora de Benefícios,RJ,Ativo
69289171000189,320510,Medicina de Grupo,SP,Ativo
49955478000164,423629,Medicina de Grupo,MG,Ativo
59847780000152,327417,Medicina de Grupo,SP,Ativo
50507787000150,423734,Administradora de Benefícios,RJ,Ativo
51124739000146,424005,Administradora de Benefícios,RJ,Ativo
12903235000172,418013,Administradora de Benefícios,PI,Ativo
41215349000128,422991,Administradora de Benefícios,SP,Ativo
19240452000179,419257,Administradora de Benefícios,SP,Ativo
7611953000135,419125,Administradora de Benefícios,RJ,Ativo
29138326000161,421332,Administradora de Benefícios,RJ,Ativo
25313773000159,420697,Administradora de Benefícios,SC,Ativo
8192597000125,417874,Odontologia de Grupo,SP,Ativo
45050963000138,423181,Medicina de Grupo,BA,Ativo
83506030000100,318299,Filantropia,SP,Ativo
22709109000135,421189,Filantropia,MG,Ativo
12380335000161,419869,Administradora de Benefícios,SP,Ativo
50436148000141,423891,Administradora de Benefícios,RJ,Ativo
46092428000102,423467,Administradora de Benefícios,RS,Ativo
29179109000110,421324,Administradora de Benefícios,RO,Ativo
11073058000181,417718,Administradora de Benefícios,ES,Ativo
2849393000138,366561,Medicina de Grupo,SP,Ativo
13852392000169,420042,Administradora de Benefícios,SP,Ativo
32421708000102,421766,Medicina de Grupo,ES,Ativo
3123146000112,402966,Medicina de Grupo,SP,Ativo
14674151000130,419079,Odontologia de Grupo,SP,Ativo
4299138000194,415111,Medicina de Grupo,SP,Ativo
34673588000166,422401,Administradora de Benefícios,SP,Ativo
60233601000176,424552,Administradora de Benefícios,ES,Ativo
54557861000102,424170,Medicina de Grupo,ES,Ativo
56980711000124,424218,Administradora de Benefícios,SP,Ativo
62090465000138,424706,Medicina de Grupo,SP,Ativo
15011651000154,421715,Medicina de Grupo,SP,Ativo
92693118000160,5711,Seguradora Especializada em Saúde,RJ,Ativo
31596055000130,421561,Odontologia de Grupo,TO,Ativo
19962272000109,419419,Odontologia de Grupo,SP,Ativo
14838567000146,419613,Odontologia de Grupo,SP,Ativo
1838723000127,417238,Autogestão,SC,Ativo
58246775000121,424536,Administradora de Benefícios,MT,Ativo
46293680000180,423530,Administradora de Benefícios,SP,Ativo
7844436000106,415774,Medicina de Grupo,RJ,Ativo
50805425000146,424021,Administradora de Benefícios,RJ,Ativo
83937631000169,327557,Autogestão,SC,Ativo
1052203000194,347825,Autogestão,RJ,Ativo
2172353000102,314251,Autogestão,RN,Ativo
62231527000184,352331,Autogestão,SP,Ativo
78304672000188,414026,Autogestão,PR,Ativo
73395469000140,316873,Autogestão,MG,Ativo
