CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Status
,,1º Trimestre,2025,102223.76,NOK
93507895000136.0,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1º Trimestre,2025,18995.81,NOK
93507895000136.0,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1º Trimestre,2025,3657.1,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,1494.04,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,468.51,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,2220.16,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,1500634.49,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,1339249.2,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,4761.19,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,638.42,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,1168.75,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,4919584.58,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,6109593.74,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,1423.12,NOK
85246916000189.0,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1º Trimestre,2025,397666.29,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,3373957.31,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,108.25,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,749102.62,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,1702358.0,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,4075603.41,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,13702.07,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,2162305.91,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,2689518.29,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,202773.89,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,199005.86,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,89345.47,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,2436678.37,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,2619.76,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,824593.82,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,90247.93,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,181658.79,NOK
78339439000130.0,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1º Trimestre,2025,36074.21,NOK
