RazaoSocial,UF,Total_Despesas,Media_1º_Trimestre,Media_2º_Trimestre,Media_3º_Trimestre,Desvio_1º_Trimestre,Desvio_2º_Trimestre,Desvio_3º_Trimestre
BRADESCO SAÚDE S.A.,RJ,36565730503.11,424136558.6996296,434792237.96571434,462137884.11357147,1216956929.216139,1286983339.2700117,1381559063.656127
SUL AMERICA COMPANHIA DE SEGURO SAÚDE,RJ,19688988804.73,170826151.04555556,189735280.1864706,202521366.87857142,455282728.58562446,511522601.3275727,551070622.7448729
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,SP,19181248270.21,116718200.7798077,121063700.84320754,128760109.32634616,316252099.4406903,308430988.5518555,458418989.56191576
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ,PR,14287667274.86,791865456.9327778,891923.8077777609,1001912.3072222351,3356493145.112257,986245.9221698014,1171018.804276166
NOTRE DAME INTERMÉDICA SAÚDE S.A.,SP,8608449788.1,71567566.71571429,77723728.25275001,78806205.8668421,188853985.86550507,196383210.28283593,200241425.8788366
HAPVIDA ASSISTENCIA MEDICA S.A.,CE,8328448092.179999,29433757.155301202,38826911.092380956,33215009.069999997,99966596.71077983,132674355.83628927,131334515.81151061
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO,PR,6667856358.71,85611796.48173913,203180752.62043476,1114249.1026087191,407092356.3916309,970043303.2625748,2645905.034288595
UNIMED NACIONAL - COOPERATIVA CENTRAL,SP,6544767274.969999,36283373.44084746,37974769.93071429,43797329.343076915,119424314.72770175,119937098.83245184,130826029.7147975
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,DF,6232933974.41,107288972.43777777,116397866.31222224,122587270.93944444,291239051.07756704,316466476.6759995,333094759.9499778
PORTO SEGURO - SEGURO SAÚDE S/A,SP,4816546517.22,79789081.41888888,85734360.45421053,83399533.47857144,207101415.14374682,234967885.10232097,242419914.230417
UNIMED SEGUROS SAÚDE S/A,SP,4621284322.73,35681585.60230769,39861483.8725641,44081700.34763158,119087424.47537339,130036728.80550681,143791610.06675592
BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A,SP,4608307926.85,357311094.8975,369128502.63000005,425637384.185,388128658.99568975,396707522.62096304,472086709.47895753
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,SP,4443568463.36,94613300.586,100401163.87400001,101223433.0973333,258647391.56519264,274540197.77008325,285365455.7760725
GEAP AUTOGESTÃO EM SAÚDE,DF,4402987377.94,78405952.96058823,78823372.32647058,101769932.23882353,255634982.73356304,262460732.15335763,336756172.380722
ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS,RJ,4200746236.14,252990075.76999998,283271922.696,303887248.76199996,497777806.67137116,557826846.9731331,614265411.5905474
SUL AMÉRICA PARANÁ CLÍNICAS SERVIÇOS DE SAÚDE S.A.,SP,3845505118.28,81444678.64428571,82906050.75875,86173925.32,273569227.3178331,298085500.9340557,308073896.08212894
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO,MG,2708349942.88,10300653.375903616,10243975.092954546,10235762.413978495,26985780.628862508,27240764.068473067,28248194.71762513
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.,RS,1980702942.82,10212601.478548387,9931421.962727273,10329071.665820897,22579078.906641457,22464080.377348237,23054540.244562786
FUNDAÇÃO SAÚDE ITAÚ,MG,1950144657.92,100453568.22833334,94565272.87857142,97923762.62857144,122079822.0805921,126801846.79565656,136001467.3783545
OMINT SERVIÇOS DE SAÚDE S.A.,SP,1890208992.76,21491824.68807692,25967354.252399996,26239911.32923077,63324949.625995055,75366381.73195966,77369033.73659576
