registro_ans,cnpj,razao_social,status
419761,19541931000125,18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
421545,22869997000153,2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,ativo
421421,27452545000195,2CARE OPERADORA DE SAÚDE LTDA.,ativo
418030,13138885000131,A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.,ativo
314668,17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ativo
419621,17687511000126,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
418901,10458298000131,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
424293,58280182000181,ADC ADMINISTRADORA DE BENEFICIOS LTDA,ativo
421553,28315826000169,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
416932,7867825000157,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,ativo
422347,37201454000130,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ativo
335657,2041808000142,ADVANCE PLANOS DE SAÚDE LTDA,ativo
413283,3694367000140,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,ativo
417424,11158465000191,AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
368920,20320487000105,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,ativo
424285,57522360000170,AIRES OPERADORA DE SAUDE LTDA,ativo
417742,10387254000168,ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS,ativo
421928,34266553000102,ALICE OPERADORA LTDA.,ativo
417289,7674593000110,ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA,ativo
417459,11165556000154,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.,ativo
515,4439627000102,ALLIANZ SAÚDE S/A,ativo
423262,45568546000181,ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,ativo
419982,20459346000160,ALPHA DENTAL PLANO DE SAUDE LTDA ME,ativo
420255,22103116000199,ALTER ADMINISTRADORA DE BENEFICIOS S.A.,ativo
418773,16757674000175,ALUVES ADMINISTRADORA DE  BENEFICIOS LTDA,ativo
344800,62511019000150,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,ativo
424234,56307500000125,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,ativo
419052,16926969000128,AMAZÔNIA PLANOS DE SAÚDE LTDA,ativo
423351,46614535000153,AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.,ativo
304531,17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,ativo
413330,4257073000114,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,ativo
394734,67839969000121,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,ativo
401081,68668045000172,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,ativo
418587,15131148000132,AMHA SAUDE S/A,ativo
421731,29174910000172,AMHE MED ASSISTENCIA A SAUDE LTDA - EPP,ativo
326305,29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,ativo
325465,20946877000187,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,ativo
422720,41077489000187,AMPLA PLANOS DE SAUDE LTDA,ativo
423858,43047552000168,AMPLITUDE PLANOS DE SAUDE LTDA ,ativo
424277,57395677000193,AMÉLIA OPERADORA DE PLANOS DE SAUDE S/A.,ativo
423319,45981176000100,ANAFE SAUDE,ativo
421871,3013779000178,ANGELI SISTEMAS DE SAUDE S.A.,ativo
424366,55081563000143,AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA,ativo
422932,35808498000106,APLUS ADMINISTRADORA DE BENEFICIOS LTDA,ativo
421693,30902499000193,AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
416070,17469701000177,ARCELORMITTAL BRASIL S/A,ativo
422941,41715325000138,ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.,ativo
352152,743507000135,ARM PLANOS ODONTOLÓGICOS LTDA.,ativo
424340,57267292000140,ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,ativo
417769,12080518000161,ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA,ativo
423912,53249803000140,ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA,ativo
325236,66854779000110,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,ativo
365297,1872588000136,ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA,ativo
423432,47325263000134,"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE",ativo
409634,73565319000138,ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,ativo
360783,59007799000190,ASSOCIACAO DE SAUDE HOLAMBRA,ativo
317632,62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,ativo
343129,13100755000100,ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA,ativo
420093,13083167000105,ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM,ativo
406635,71565659000133,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,ativo
410608,200720000109,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),ativo
417599,92741016000173,ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,ativo
333867,89761670000134,ASSOCIAÇAO UNISAUDE MARAU,ativo
406554,83367342000171,ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,ativo
411752,3849449000117,ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE,ativo
322326,25335803000128,ASSOCIAÇÃO BENEFICENTE CATÓLICA,ativo
304131,2030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),ativo
382540,31240963000196,ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,ativo
417947,10935483000170,ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,ativo
417955,7945024000162,ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,ativo
416690,7781345000179,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS,ativo
416568,8202035000115,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,ativo
314218,60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,ativo
422321,35657268000185,ASSOCIAÇÃO DE SAÚDE DO VALE,ativo
418731,15022430000181,ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO,ativo
417530,11939445000158,ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA,ativo
393533,12317012000123,ASSOCIAÇÃO DO FISCO DE ALAGOAS,ativo
420000,15713057000105,ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL,ativo
387185,34011288000111,ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO,ativo
330281,9306242000182,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,ativo
384704,13170410000122,ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC,ativo
382639,92911056000116,ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC,ativo
306754,299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,ativo
388092,4503249000170,ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM,ativo
335754,14799035000147,ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,ativo
309028,29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",ativo
419591,20160828000114,ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ,ativo
342556,87547444000120,ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,ativo
